feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Lipid A modification,PMRF	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0
Lipid A modification,UGD	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
MDR mutant porin proteins,OMPK	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
MLS resistance ABC efflux pumps,LSA	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0
MLS resistance ABC efflux pumps,MSRD	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0
MLS resistance ABC efflux pumps,MSRE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MLS resistance MFS efflux pumps,MEFA	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0
MLS resistance MFS efflux pumps,MEFB	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0
MLS resistance MFS efflux pumps,MEFC	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1
MLS resistance MFS efflux pumps,MEFE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MLS resistance MFS efflux pumps,MEFJ	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0
Macrolide esterases,EREA	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Macrolide esterases,ERED	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0
Macrolide phosphotransferases,MPHA	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
Macrolide phosphotransferases,MPHB	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0
Macrolide phosphotransferases,MPHE	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Macrolide phosphotransferases,MPHG	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Macrolide-resistant 23S rRNA mutation,MLS23S	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mercury resistance protein,MERA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mercury resistance protein,MERC	1	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0
Mercury resistance protein,MERE	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Mercury resistance protein,MERF	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
Mercury resistance protein,MERP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Mercury resistance protein,MERT	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Mercury resistance regulator,MERD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mercury resistance regulator,MERR	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Mercury resistance regulator,MERR1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
Mercury resistance regulator,MERR2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0
Multi-biocide RND efflux pump,TOLC	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0
Multi-biocide SMR efflux pump,SUGE	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1
