"Sample1","Sample2","shared_ARGs_a","unique_ARGs_sample1_b","unique_ARGs_sample2_c","Total_Jaccard","Turnover","Nestedness","City1","Environment1","City2","Environment2","Pair_type"
"Santiago_Sewage","Taipei_Sewage",63,14,140,0.709677419354839,0.307692307692308,0.401985111662531,"Santiago","Sewage","Taipei","Sewage","Sewage-Sewage"
"Santiago_Sewage","Vienna_Sewage",41,36,49,0.674603174603175,0.63716814159292,0.0374350330102543,"Santiago","Sewage","Vienna","Sewage","Sewage-Sewage"
"Santiago_Sewage","Bogota_Sewage",55,22,127,0.730392156862745,0.444444444444444,0.285947712418301,"Santiago","Sewage","Bogota","Sewage","Sewage-Sewage"
"Santiago_Sewage","Hanoi_Sewage",63,14,150,0.722466960352423,0.307692307692308,0.414774652660115,"Santiago","Sewage","Hanoi","Sewage","Sewage-Sewage"
"Santiago_Sewage","Ilorin_Sewage",28,49,37,0.754385964912281,0.725490196078431,0.0288957688338494,"Santiago","Sewage","Ilorin","Sewage","Sewage-Sewage"
"Santiago_Sewage","Kuala_Lumpur_Sewage",55,22,119,0.719387755102041,0.444444444444444,0.274943310657596,"Santiago","Sewage","Kuala_Lumpur","Sewage","Sewage-Sewage"
"Santiago_Sewage","Oslo_Sewage",31,46,17,0.670212765957447,0.523076923076923,0.147135842880524,"Santiago","Sewage","Oslo","Sewage","Sewage-Sewage"
"Santiago_Sewage","Rio_de_Janeiro_Sewage",32,45,32,0.706422018348624,0.666666666666667,0.0397553516819572,"Santiago","Sewage","Rio_de_Janeiro","Sewage","Sewage-Sewage"
"Santiago_Sewage","Barcelona_Transit",7,70,6,0.91566265060241,0.631578947368421,0.284083703233989,"Santiago","Sewage","Barcelona","Transit","Sewage-Transit"
"Santiago_Sewage","Berlin_Transit",7,70,18,0.926315789473684,0.837209302325581,0.0891064871481028,"Santiago","Sewage","Berlin","Transit","Sewage-Transit"
"Santiago_Sewage","Bogota_Transit",12,65,11,0.863636363636364,0.647058823529412,0.216577540106952,"Santiago","Sewage","Bogota","Transit","Sewage-Transit"
"Santiago_Sewage","Hanoi_Transit",26,51,40,0.777777777777778,0.754716981132076,0.0230607966457023,"Santiago","Sewage","Hanoi","Transit","Sewage-Transit"
