feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Multi-metal ABC efflux pumps,MODA	0	0	0	25	0	0	15	0	14	0	22	19	7	11	0	0
Multi-metal ABC efflux pumps,MODB	0	0	0	0	0	0	13	0	0	0	14	0	0	0	0	0
Multi-metal ABC efflux pumps,MODC	0	0	0	51	0	10	39	0	18	0	28	33	0	12	0	0
Multi-metal RND efflux pumps,CUSA	0	0	0	99	0	0	80	0	63	0	103	65	0	38	0	0
Multi-metal RND efflux pumps,CUSB	0	0	0	31	0	15	28	0	23	0	36	27	0	16	0	0
Multi-metal RND efflux pumps,CUSC	0	0	0	0	0	0	0	0	0	0	31	26	0	0	0	0
Multi-metal RND efflux pumps,CUSF	0	0	0	6	0	7	3	0	4	0	13	5	0	4	0	0
Multi-metal RND efflux pumps,SILA	70	0	46	152	34	36	205	0	70	0	35	98	0	97	0	59
Multi-metal RND efflux pumps,SILB	29	12	15	71	20	0	55	12	34	0	20	45	0	39	0	14
Multi-metal RND efflux pumps,SILC	22	0	0	36	0	0	81	0	19	0	17	38	0	0	0	0
Multi-metal RND efflux pumps,SILE	0	4	6	14	7	0	16	0	0	0	10	13	0	0	0	0
Multi-metal RND efflux pumps,SILF	0	2	0	0	6	0	12	0	0	0	0	6	0	10	0	0
Multi-metal RND efflux pumps,SILP	50	0	49	117	44	22	175	0	54	0	43	95	0	76	0	48
Multi-metal RND efflux regulator,CUSR	0	0	0	22	0	10	16	0	12	0	19	17	0	11	0	0
Multi-metal RND efflux regulator,CUSS	0	0	0	46	0	0	24	0	34	0	41	28	0	17	0	0
Multi-metal RND efflux regulator,CZCC	43	0	169	36	34	31	76	88	57	132	0	0	0	68	66	0
Multi-metal RND efflux regulator,SILS	0	0	0	61	17	0	67	0	29	0	0	50	0	37	0	0
Multi-metal resistance protein,ARSA	25	23	0	62	23	0	91	0	44	0	18	23	0	28	0	0
Multi-metal resistance protein,ARSBM	35	19	0	61	0	0	73	0	0	0	0	12	0	0	0	13
Multi-metal resistance protein,ARSCM	6	0	0	18	9	0	19	0	0	0	0	0	0	11	0	0
Multi-metal resistance protein,ARSDM	7	0	0	6	0	0	8	0	0	0	0	0	0	3	0	0
Multi-metal resistance protein,ARSRM	0	4	0	16	3	0	19	0	2	0	0	0	0	6	2	0
